"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj"
"Cped1" 6.9312129903459e-14 1.44098255417455 0.423 0.145 1.53949171728573e-09
"Rab42" 8.34869037062816e-14 4.09313645862332 0.082 0.007 1.85432761822022e-09
"Pcdh12" 9.06719228262317e-14 2.87420141914059 0.113 0.014 2.01391407789343e-09
"Adam23" 1.27370733729792e-13 2.0527143352293 0.206 0.042 2.82903136687242e-09
"Gbp6" 1.90752209834252e-13 1.11415564374103 0.443 0.156 4.23679733262858e-09
"Igtp" 2.00932557381885e-13 1.04231772278775 0.474 0.17 4.46291303200904e-09
"Pgr" 2.21226970046459e-13 2.58725910074102 0.103 0.012 4.9136722317019e-09
"Pcolce" 2.30699144964478e-13 1.03579186978313 0.856 0.621 5.12405870880603e-09
"Slc15a3" 2.35000240934255e-13 1.43444249924513 0.392 0.128 5.21959035139073e-09
"Itih5" 2.41267984457189e-13 1.61267690872017 0.691 0.391 5.35880320277862e-09
"Kctd12" 2.42861911545056e-13 1.04416240041097 0.629 0.296 5.39420591732725e-09
"Irf8" 2.51628658329076e-13 2.01075205561648 0.371 0.124 5.58892413014711e-09
"Pid1" 2.79187084507534e-13 1.40675682506963 0.392 0.127 6.20102433399684e-09
"Fgf7" 3.2448310140714e-13 1.22069322070115 0.381 0.122 7.20709416535399e-09
"Sp110" 3.78794002923352e-13 1.46581961954396 0.371 0.121 8.41339359893057e-09
"Kcna2" 4.52690059820415e-13 3.99328796695223 0.062 0.004 1.00546989186712e-08
"Col6a6" 4.65627857516554e-13 1.54032991877405 0.258 0.064 1.03420603433002e-08
"Mndal" 4.66332252103436e-13 1.16964118813219 0.639 0.306 1.03577056514694e-08
"Myorg" 4.80843479107375e-13 2.65257664013571 0.216 0.049 1.06800145144539e-08
"H2-DMa" 5.12158489877557e-13 1.38892993437242 0.392 0.132 1.13755522186704e-08
"Srpx2" 5.44690359137871e-13 1.2252649516098 0.495 0.19 1.20981175668112e-08
"Gli1" 7.06757821223311e-13 2.44558594520348 0.113 0.015 1.5697797967191e-08
"Gbp8" 7.4143059570687e-13 1.2648081653619 0.227 0.051 1.64679149612453e-08
"Calhm6" 8.95612592373625e-13 1.81106211991082 0.216 0.049 1.98924512892106e-08
"Wasf3" 9.19570254472968e-13 2.39209473815651 0.144 0.023 2.04245749220991e-08
"Ifitm1" 9.2797508039663e-13 1.7618992836453 0.495 0.208 2.06112545106896e-08
"Mmp3" 9.32969234322689e-13 1.4205436783973 0.351 0.108 2.07221796635412e-08
"Cebpd" 1.09037322139211e-12 1.30259928957577 0.68 0.388 2.42182796203402e-08
"Sash1" 1.21609465316083e-12 1.03727207997911 0.608 0.265 2.70106783413551e-08
"Mycbp2" 1.35598929913671e-12 1.06044809169142 0.814 0.531 3.01178783231254e-08
"Ly6h" 1.4531601520383e-12 2.70025414228911 0.113 0.015 3.22761401369226e-08
"Htra3" 1.52445765561299e-12 1.25601321018611 0.711 0.408 3.385972898882e-08
"Ptx3" 1.56508255402131e-12 1.19028703403433 0.371 0.12 3.47620486073673e-08
"Plekha6" 1.80714196826104e-12 1.4490515225766 0.289 0.081 4.0138430257046e-08
"H2-T23" 2.10952620221144e-12 1.16695654304473 0.619 0.297 4.68546864773183e-08
"Ank2" 2.12000502967057e-12 1.40076492205503 0.454 0.175 4.7087431714013e-08
"Ifi47" 2.15434489413565e-12 1.22268236824756 0.495 0.202 4.7850154443647e-08
"Fndc5" 2.18276701401197e-12 2.1474898753033 0.268 0.074 4.84814381482198e-08
"Gm38393" 2.66302798874838e-12 4.27009474423417 0.041 0.002 5.91485146580902e-08
"Fbxl18" 3.04575796161941e-12 1.67224358253515 0.392 0.139 6.76493300855287e-08
"Sphkap" 3.09229139538271e-12 2.52234052227644 0.082 0.008 6.86828841828453e-08
"Cp" 4.08771886822662e-12 1.14610463935273 0.649 0.329 9.07923237821815e-08
"Rgs7bp" 4.12316798560421e-12 1.56756609151219 0.206 0.047 9.1579684128255e-08
"Gbp3" 4.3503659457042e-12 1.32468985927429 0.433 0.161 9.66259780200359e-08
"Spns2" 4.56517585274354e-12 1.99833514211118 0.216 0.051 1.01397120865287e-07
"Pdzd2" 5.26741509617729e-12 1.24951523366499 0.309 0.09 1.16994556701194e-07
"Gm13889" 5.33157669408098e-12 1.94344185759114 0.289 0.084 1.18419649952233e-07
"Stat1" 5.62987891545292e-12 1.21900486843197 0.711 0.392 1.25045240591125e-07
"Unc93b1" 6.67449653279151e-12 1.14651846028435 0.515 0.231 1.48247242489832e-07
"Gbp7" 6.77790687983901e-12 1.14316979673829 0.557 0.24 1.50544089708104e-07
"Cdkn1c" 6.78128322745573e-12 1.5572082474969 0.402 0.147 1.50619081765019e-07
"H2-Q7" 7.45506799148289e-12 1.02338418732321 0.691 0.362 1.65584515158826e-07
"Trim30a" 8.30410310156493e-12 1.13668375979741 0.536 0.231 1.84442433988859e-07
"Rtp4" 1.22367755083882e-11 1.30198110389101 0.351 0.115 2.71791020816809e-07
"Aoc3" 1.30228930881966e-11 1.17418206570964 0.536 0.231 2.89251478381934e-07
"Ccdc30" 1.36331516766555e-11 2.70457094641621 0.103 0.014 3.02805931890195e-07
"Cxcl12" 1.75979203188696e-11 1.38963555968851 0.639 0.365 3.90867408202414e-07
"Naalad2" 2.18370221353486e-11 1.33048538259313 0.402 0.15 4.85022098648228e-07
"Ctso" 2.48628648009866e-11 1.36179575749013 0.392 0.142 5.52229090094713e-07
"Ccn5" 2.95171195478076e-11 1.67643117791868 0.268 0.078 6.55604742276355e-07
"Arhgef6" 3.32564535718151e-11 1.41370089570309 0.237 0.062 7.38659090283586e-07
"Fzd4" 3.90316794227444e-11 1.44701466515489 0.402 0.158 8.66932631658577e-07
"Rrad" 3.91091454660135e-11 1.43263287292184 0.268 0.078 8.68653229945627e-07
"Tap1" 4.1750259081123e-11 1.13341235554007 0.567 0.266 9.27315004450824e-07
"Ifih1" 4.29242689060158e-11 1.37058487530157 0.351 0.123 9.53390936671518e-07
"Parp14" 4.36629381131849e-11 1.29433231963779 0.412 0.16 9.69797518431951e-07
"Nat8" 4.63182277571711e-11 4.14300003128596 0.041 0.002 1.02877415671453e-06
"Adap2os" 4.74473833731166e-11 3.5959521015546 0.041 0.002 1.05385383210029e-06
"Ctsh" 5.31715796587047e-11 1.2080661054909 0.67 0.399 1.18099395579949e-06
"Fgl2" 5.9168655081733e-11 1.37749142590817 0.402 0.154 1.31419499802037e-06
"Htra1" 6.63139083134506e-11 1.0798882611127 0.784 0.537 1.47289821755005e-06
"Pnp" 6.75816161161741e-11 1.04600197816564 0.804 0.564 1.50105527555634e-06
"Slc36a2" 8.07041512612278e-11 1.80076130253774 0.134 0.024 1.79251990366313e-06
"Cfb" 8.15635596237126e-11 1.41999464014956 0.691 0.445 1.81160822280228e-06
"Gm43914" 9.25923599503994e-11 3.53798800435222 0.031 0.001 2.05656890685832e-06
"Rai2" 9.36386989999436e-11 2.1204360634932 0.113 0.018 2.07980914348775e-06
"Tcf21" 9.48578526177641e-11 1.65993235012913 0.216 0.055 2.10688776449316e-06
"Arhgap15" 9.71830349677629e-11 2.06408993582065 0.144 0.028 2.15853238966898e-06
"Cyp4b1" 1.01223392856164e-10 2.29838689588722 0.144 0.028 2.24827277872825e-06
"Irgm2" 1.10461571953451e-10 1.23351042669105 0.454 0.187 2.4534619746581e-06
"Adamts10" 1.22707641172588e-10 1.09918613574469 0.454 0.19 2.72545941808435e-06
"Gpc3" 1.36591933362437e-10 1.00697628954131 0.474 0.199 3.03384343191308e-06
"Matn2" 1.41564006730768e-10 1.31554346879881 0.423 0.167 3.1442781534971e-06
"Eda" 1.64472961945468e-10 2.43828884968438 0.124 0.021 3.65310895777079e-06
"Plekhg2" 1.77121954047001e-10 1.07488845787585 0.557 0.269 3.93405572133794e-06
"Col4a3" 1.83186992718716e-10 2.71228041809398 0.072 0.008 4.0687662952754e-06
"Slc1a3" 1.99291882222058e-10 1.66463462811459 0.186 0.044 4.42647199603414e-06
"Lamb2" 1.99800434043164e-10 1.10151923410428 0.66 0.353 4.43776744053271e-06
"Gm12022" 2.23983296816558e-10 3.30321069228557 0.052 0.004 4.97489300559258e-06
"Ptpn6" 2.64985116282032e-10 1.02499395094456 0.247 0.07 5.8855844177402e-06
"Tap2" 3.56727407218324e-10 1.13462321256067 0.526 0.248 7.92327244172619e-06
"Rasgrp2" 3.72060167890127e-10 1.74992794137625 0.247 0.072 8.26382838900762e-06
"Sdk1" 3.93709336072152e-10 1.4633394174332 0.268 0.082 8.74467806349858e-06
"Arsi" 3.96512578497747e-10 1.11949972799718 0.474 0.2 8.80694088101345e-06
"Rgs10" 4.03380016685217e-10 1.60552664407559 0.392 0.157 8.95947355059536e-06
"Agtr1a" 4.16151730248746e-10 2.00057752316079 0.196 0.05 9.2431460805549e-06
"Ptn" 4.21661317818365e-10 2.00310352409723 0.443 0.21 9.3655195300637e-06
"Kcnk2" 4.62264093525883e-10 2.21389999625865 0.175 0.041 1.02673477813034e-05
"Icam1" 4.7193735230057e-10 1.11830453501693 0.66 0.369 1.0482200531948e-05
"Cfap70" 5.14662852237018e-10 7.68186939960217 0.021 0 1.14311766110364e-05
"Rnf223" 5.21845342560028e-10 5.17180987944775 0.021 0 1.15907069036008e-05
"Gm16587" 5.21845342560028e-10 5.3461529348367 0.021 0 1.15907069036008e-05
"A730071L15Rik" 5.29125619209884e-10 5.04256302387931 0.021 0 1.17524091282707e-05
"Trhr2" 5.29125619209884e-10 5.10468328567209 0.021 0 1.17524091282707e-05
"Dtx4" 5.43619708777714e-10 1.04557046964005 0.351 0.125 1.20743373516618e-05
"Gngt2" 6.33830666972441e-10 1.25098663959922 0.402 0.164 1.40780129441249e-05
"Ebf2" 6.57828376487984e-10 1.03251085745308 0.381 0.144 1.46110260701746e-05
"Tpst1" 7.47765616260023e-10 1.07031507958965 0.567 0.285 1.66086221027514e-05
"Plscr4" 7.70483672324188e-10 1.06925443243179 0.402 0.159 1.71132128459925e-05
"Sema6d" 7.87773384215507e-10 1.08049989546944 0.392 0.151 1.74972346368106e-05
"Ikbke" 8.33999447542708e-10 1.18222329680972 0.309 0.105 1.85239617293711e-05
"Adamtsl2" 8.80691555324141e-10 2.63043783475582 0.144 0.03 1.95610401353045e-05
"Casp12" 8.93466816967252e-10 1.13356452133139 0.557 0.26 1.98447914716596e-05
"Psme2" 1.07332253420038e-09 1.01454683603508 0.753 0.476 2.38395668071247e-05
"Man2b2" 1.12571747201624e-09 1.19232552672384 0.309 0.105 2.50033107709526e-05
